index,b_int,g_int,r_int,h_int,s_int,v_int
f23c1.png,164.58,148.0725,191.1275,127.79,86.6425,191.215
f23c2.png,114.135,114.3325,141.2175,49.0575,91.165,148.62
f23c3.png,131.9275,105.875,93.2725,89.3375,108.125,131.9275
f23c4.png,118.51,89.4225,75.055,89.1575,151.5975,118.51
f23c5.png,136.72,123.1025,138.265,120.7675,40.26,138.4475
f23c6.png,129.61,128.3125,78.1275,70.3125,148.765,137.51
f23c7.png,108.9575,95.025,110.23,120.3525,64.88,110.6625
f23c8.png,116.8425,100.34,112.9925,114.1875,65.7825,120.9575
f23c9.png,131.92,108.7575,122.7425,109.9475,66.2925,132.035
f24c0.png,176.9025,158.68,198.7525,126.0225,77.89,198.915
f24c1.png,158.5875,194.9025,210.245,35.2375,76.225,216.245
f24c2.png,114.135,114.3325,141.2175,49.0575,91.165,148.62
f24c3.png,121.9425,109.79,125.11,122.9525,46.705,125.165
f24c4.png,122.37,107.135,120.8125,117.825,51.985,123.9525
f24c5.png,118.51,89.4225,75.055,89.1575,151.5975,118.51
f24c6.png,93.7225,79.4025,83.2875,100.8675,75.01,93.7225
f24c7.png,122.3825,100.5,106.0925,104.6275,73.5525,123.4525
f24c8.png,129.61,128.3125,78.1275,70.3125,148.765,137.51
f24c9.png,100.13,88.1825,102.6225,118.035,65.6825,105.385
f24c10.png,173.4625,144.445,135.93,100.5875,87.1,178.8575
f24c11.png,210.0425,214.175,207.2475,50.86,33.5325,221.935
f24c12.png,162.215,147.3175,188.8375,127.43,81.155,188.8775
f24c13.png,148.4575,115.505,133.4475,107.865,89.3425,152.985
f24c14.png,112.3125,94.475,124.5625,121.5725,100.2975,130.845
f24c15.png,113.785,95.485,133.34,126.155,110.015,133.4225
f24c16.png,158.8475,158.2025,196.9175,43.76,63.54,200.2675
f25c0.png,124.9175,112.06,126.6975,121.0375,44.5525,127.0675
f25c1.png,158.5875,194.9025,210.245,35.2375,76.225,216.245
f25c2.png,126.1375,106.335,118.825,109.595,59.61,126.1425
f25c3.png,114.135,114.3325,141.2175,49.0575,91.165,148.62
f25c4.png,118.51,89.4225,75.055,89.1575,151.5975,118.51
f25c5.png,129.61,128.3125,78.1275,70.3125,148.765,137.51
f25c6.png,163.8825,126.02,158.795,109.495,118.66,197.21
f25c7.png,195.2725,174.325,210.5875,123.4425,64.6775,211.065
f25c8.png,158.81,120.9925,122.445,100.07,94.32,163.2825
f25c9.png,216.615,219.2325,208.05,50.435,39.2975,229.0525
f25c10.png,159.29,158.56,197.36,44.71,63.41,200.76
f25c11.png,176.0925,150.1925,147.55,106.815,77.37,183.0125
f26c0.png,123.625,108.54,122.3325,117.95,50.1225,125.1875
f26c1.png,158.5875,194.9025,210.245,35.2375,76.225,216.245
f26c2.png,114.135,114.3325,141.2175,49.0575,91.165,148.62
f26c3.png,118.51,89.4225,75.055,89.1575,151.5975,118.51
f26c4.png,101.9175,89.5325,100.6525,115.42,61.8175,104.72
f26c5.png,129.61,128.3125,78.1275,70.3125,148.765,137.51
f26c6.png,195.2725,174.325,210.5875,123.4425,64.6775,211.065
f26c7.png,175.9125,150.08,147.255,106.7675,77.61,182.8225
f26c8.png,159.2325,158.51,197.2925,44.7175,63.42,200.6925
f27c0.png,124.185,108.755,122.6675,117.7625,50.46,125.6825
f27c1.png,114.135,114.3325,141.2175,49.0575,91.165,148.62
f27c2.png,118.51,89.4225,75.055,89.1575,151.5975,118.51
f27c3.png,108.6175,90.6425,128.44,125.01,113.06,132.165
f27c4.png,106.9775,90.88,104.725,116.5975,73.23,108.1325
f27c5.png,118.67,97.75,100.925,102.22,74.3525,118.7425
f27c6.png,129.61,128.3125,78.1275,70.3125,148.765,137.51
f27c7.png,189.3125,171.6625,209.405,127.3075,66.0375,209.405
f27c8.png,157.2075,192.3,204.585,34.195,81.9075,214.11
f27c9.png,131.9475,118.965,134.4125,121.845,40.9675,134.645
f27c10.png,137.455,110.39,118.665,104.76,71.435,137.455
f27c11.png,119.88,102.0675,138.8025,128.32,113.5075,139.7325
f27c12.png,161.32,163.555,207.295,32.5825,62.9175,207.955
f27c13.png,106.2675,91.2675,95.2125,100.715,72.785,106.2675
f27c14.png,151.83,129.92,154.2975,106.585,83.095,173.0475
f27c15.png,115.025,100.185,118.535,121.83,65.2725,120.425
f28c0.png,149.315,132.9775,175.79,128.13,94.9725,175.8375
f28c1.png,126.5725,108.71,122.095,115.6675,54.395,127.7725
f28c2.png,114.135,114.3325,141.2175,49.0575,91.165,148.62
f28c3.png,118.51,89.4225,75.055,89.1575,151.5975,118.51
